acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
0.03	-0.04	0.9	-1.54	-1.11	-3.21
-0.01	-0.05	0.86	-6.44	17.34	-7.74
-0.06	-0.06	0.89	-9.56	24.49	-7.85
-0.08	-0.07	0.87	-11.71	20.37	-8.11
-0.08	-0.09	0.88	-9.4	20.92	-7.66
-0.11	-0.06	0.87	-12.11	12.69	-0.95
-0.05	-0.08	0.97	-16.93	0.12	-3.63
0.04	-0.07	0.91	-10.31	0.67	-7.3
-0.03	-0.04	0.92	-9.63	-8.49	-7.39
0	-0.05	0.94	-11.3	-2.32	-8.78
-0.02	-0.06	0.96	-8.85	10.53	-9.66
-0.05	-0.06	0.97	-12.64	19.89	-9.83
-0.01	-0.07	0.96	-9.98	25.21	-10.63
-0.09	-0.07	0.95	-9.04	20.02	-10.64
-0.12	-0.09	0.98	-7.44	9.71	-8.98
-0.13	-0.08	0.98	-3.05	5.25	-8.44
-0.13	-0.07	0.96	-3.28	-0.27	-7.68
-0.14	-0.07	0.94	-2.37	-2.64	-6.79
-0.16	-0.07	0.91	-2.87	-3.97	-5.4
-0.14	-0.07	0.89	-4.12	-3.82	-4.17
-0.14	-0.07	0.88	-6.92	-4.44	-3.11
-0.11	-0.08	0.91	-6.84	-2.7	-2.92
-0.11	-0.1	0.93	-6.2	-3.39	-2.47
-0.13	-0.1	0.93	-6.55	-1.56	-2.84
-0.17	-0.11	0.93	-6.37	-3.8	-1.25
-0.16	-0.09	0.92	-7.63	-6.63	1.63
-0.14	-0.08	0.9	-7.44	-10.02	2.21
-0.11	-0.06	0.89	-9.66	-12.44	3.19
-0.1	-0.07	0.89	-8.53	-13.24	4.4
-0.1	-0.08	0.89	-12.46	-14.61	4.29
-0.07	-0.09	0.92	-12.56	-15.56	4.95
-0.04	-0.1	0.94	-12.67	-16.24	4.21
-0.07	-0.1	0.94	-11.91	-16.69	4.06
-0.06	-0.09	0.94	-10.18	-15.92	4.08
-0.11	-0.09	0.95	-9.83	-18.49	4.56
-0.07	-0.08	0.95	-8.53	-19.57	5.91
-0.05	-0.08	0.93	-7.62	-17.4	5.59
-0.02	-0.08	0.9	-9.42	-15.54	4.63
-0.03	-0.09	0.91	-11.39	-14.31	3.44
0.01	-0.09	0.93	-12.84	-12.58	1.63
0	-0.11	0.95	-11.63	-12.61	-0.99
-0.03	-0.12	0.95	-10.31	-14.21	-2.24
-0.05	-0.12	0.96	-8.49	-17.36	-2.09
-0.05	-0.12	0.95	-5.88	-14.92	-2.02
-0.06	-0.11	0.91	-5.18	-10.55	-1.33
-0.07	-0.11	0.86	-6.35	-6.89	-0.76
-0.08	-0.1	0.81	-7.71	-7.13	-0.15
-0.07	-0.09	0.77	-9.92	-8.61	0.09
-0.05	-0.08	0.74	-13.45	-11.25	-0.32
-0.02	-0.07	0.74	-16.93	-9.73	-1.62
-0.04	-0.08	0.74	-21.34	-11.79	-1.79
-0.06	-0.07	0.8	-24.75	-16.41	-1.07
-0.04	-0.06	0.84	-23.98	-18.18	-0.17
-0.03	-0.03	0.86	-24.29	-16.87	0.4
-0.04	0	0.92	-26.72	-12.93	0.85
-0.08	0.02	0.94	-29.01	-11.28	3.24
-0.08	0	1.08	-30.05	-16.6	6.32
-0.01	-0.03	1.2	-23.11	-17.21	7.07
0.05	-0.07	1.28	-15.08	-21.62	4.73
0.04	-0.1	1.31	-7.91	-28.11	2.14
0.04	-0.11	1.32	-2.08	-31.25	0.47
0.03	-0.11	1.31	2.06	-29.69	-0.09
0.02	-0.1	1.32	5.85	-22.49	-0.02
0.03	-0.09	1.31	10.37	-15.69	0.4
0.04	-0.09	1.29	15.01	-9.71	-0.02
0.02	-0.08	1.27	20.69	-7.76	-0.18
0.04	-0.08	1.23	26.47	-5.92	-0.63
0.05	-0.07	1.18	32.37	-6	-2.02
0.05	-0.07	1.1	36.03	-2.87	-3.48
0.02	-0.07	1.01	38.23	-1.45	-3.18
0.01	-0.06	0.93	38.34	-0.14	-2.93
0	-0.05	0.87	36.26	0.53	-2.49
0.01	-0.05	0.82	34.46	0.92	-2.14
0	-0.04	0.79	32.55	1.56	-1.44
0.01	-0.03	0.77	30.05	2.84	-1.6
0.01	-0.04	0.72	27.08	4.38	-2.53
-0.01	-0.04	0.71	25.95	3.08	-2.27
-0.02	-0.06	0.68	25.31	-1.01	-1.62
0	-0.06	0.62	22.61	-4.08	-1.82
-0.02	-0.06	0.57	19.01	-7.31	-1.47
-0.02	-0.05	0.54	14.43	-7.42	-1.47
-0.01	-0.07	0.51	8.89	-6.73	-1.57
-0.04	-0.07	0.54	5.15	-8.55	-0.72
-0.05	-0.07	0.53	3.69	-11.01	1.08
-0.05	-0.07	0.49	-1.51	-14.23	2.84
-0.04	-0.07	0.46	-8.06	-13.42	4.5
-0.03	-0.07	0.48	-15.1	-8.56	6.23
-0.03	-0.08	0.51	-21.65	-6.37	7.85
-0.01	-0.08	0.56	-24.75	-6.64	9.28
0.01	-0.09	0.58	-27.37	-5.66	9.5
0.03	-0.07	0.63	-30.66	-6.64	8.95
0.06	-0.06	0.67	-32.66	-4	8.08
0.03	-0.05	0.73	-36.43	-7.07	8.41
0.01	-0.05	0.81	-38.05	-12.14	10.11
0.04	-0.05	0.88	-36.6	-15.92	11.65
0.08	-0.04	0.95	-36.64	-17.51	12.02
0.11	-0.05	1.04	-36.37	-13.47	11.21
0.14	-0.04	1.11	-35.66	-6.4	9.69
0.15	-0.02	1.17	-35.82	-0.66	7.97
0.15	-0.03	1.25	-33.79	0.55	6.2
0.13	-0.03	1.3	-25.53	-0.67	3.77
0.15	-0.03	1.36	-22.37	-5.21	1.22
0.13	-0.04	1.37	-14.08	-4.03	-1.18
